12.2 million with 512 Dimensions vectors.


system : m20 base cluster + 3 * s50 search nodes.

Non Staggered :
Host CPU count 192
======================================================================================================================================================
Pipeline                                 RPM      Threads  Sample   Reqs     NumCand   topK    P50(ms)    P70(ms)    P95(ms)    P99(ms)   
VectorSearchOnly               100000    256       100       100000    100       100       117.34     146.37     248.82     401.57
VectorSearchOnly               100000    256       100       100000    300       100       122.16     166.50     330.27     487.29
VectorSearchOnly               100000    256       100       100000    500       100       41.41      70.97      821.92     1481.95
VectorSearchOnly               100000    256       100       100000    500       250       286.00     391.52     730.05     1091.28
VectorSearchOnly               100000    256       100       100000    500       500       552.49     669.43     1035.50    10011.87
VectorSearchOnly               100000    512       100       100000    100       100       140.51     208.59     761.05     2788.71
VectorSearchOnly               100000    512       100       100000    300       100       496.33     611.81     1098.31    1788.93
VectorSearchOnly               100000    512       100       100000    500       100       99.47      271.41     2351.37    3368.72
VectorSearchOnly               100000    512       100       100000    500       250       247.32     322.72     683.81     2919.90
VectorSearchOnly               100000    512       100       100000    500       500       557.73     695.00     1491.81    39940.92




system : m50 base cluster + 5 * s50 search nodes.

Staggered:

Host CPU count: 64
==========================================================================================================================================================================
Pipeline                       RPM Target RPM Actual Threads  Sample   Reqs     Completed  Errors   NumCand   TopK     P50(ms)    P70(ms)    P95(ms)    P99(ms)   
==========================================================================================================================================================================
functionalHybrid               1000       1000.5     64       100      1000     1000  (100.0%) 0        100       100      17.25      17.72      18.83      20.07     
functionalHybrid               1000       1000.5     64       100      1000     1000  (100.0%) 0        300       100      19.31      20.00      21.52      23.09     
functionalHybrid               1000       1000.5     64       100      1000     1000  (100.0%) 0        500       100      21.27      22.17      24.11      25.82     
functionalHybrid               1000       1000.3     64       100      1000     1000  (100.0%) 0        500       250      33.83      34.89      37.65      39.32     
functionalHybrid               1000       1000.0     64       100      1000     1000  (100.0%) 0        500       500      55.25      56.65      61.24      67.01     
functionalHybrid               1000       1000.5     128      100      1000     1000  (100.0%) 0        100       100      17.21      17.69      18.92      19.67     
functionalHybrid               1000       1000.4     128      100      1000     1000  (100.0%) 0        300       100      19.14      19.84      21.46      22.51     
functionalHybrid               1000       1000.3     128      100      1000     1000  (100.0%) 0        500       100      21.08      21.98      24.24      25.71     
functionalHybrid               1000       1000.2     128      100      1000     1000  (100.0%) 0        500       250      33.95      34.91      37.45      39.54     
functionalHybrid               1000       999.8      128      100      1000     1000  (100.0%) 0        500       500      55.21      56.71      60.70      64.78     
functionalHybrid               1000       1000.3     256      100      1000     1000  (100.0%) 0        100       100      17.28      17.75      18.82      20.01     
functionalHybrid               1000       1000.2     256      100      1000     1000  (100.0%) 0        300       100      19.24      19.86      21.54      23.16     
functionalHybrid               1000       1000.2     256      100      1000     1000  (100.0%) 0        500       100      20.83      21.78      24.05      25.09     
functionalHybrid               1000       1000.0     256      100      1000     1000  (100.0%) 0        500       250      34.00      35.05      37.55      39.39     
functionalHybrid               1000       999.7      256      100      1000     1000  (100.0%) 0        500       500      55.08      56.46      60.86      65.18     
VectorSearchOnly               1000       1000.6     64       100      1000     1000  (100.0%) 0        100       100      12.63      13.04      13.97      14.98     
VectorSearchOnly               1000       1000.6     64       100      1000     1000  (100.0%) 0        300       100      14.52      15.13      16.78      17.72     
VectorSearchOnly               1000       1000.6     64       100      1000     1000  (100.0%) 0        500       100      16.39      17.12      19.35      20.42     
VectorSearchOnly               1000       1000.4     64       100      1000     1000  (100.0%) 0        500       250      26.40      27.41      30.16      31.87     
VectorSearchOnly               1000       1000.2     64       100      1000     1000  (100.0%) 0        500       500      42.50      43.65      46.99      51.03     
VectorSearchOnly               1000       1000.5     128      100      1000     1000  (100.0%) 0        100       100      12.55      12.89      13.74      14.86     
VectorSearchOnly               1000       1000.5     128      100      1000     1000  (100.0%) 0        300       100      14.56      15.13      16.54      17.37     
VectorSearchOnly               1000       1000.5     128      100      1000     1000  (100.0%) 0        500       100      16.18      17.06      19.24      20.86     
VectorSearchOnly               1000       1000.3     128      100      1000     1000  (100.0%) 0        500       250      26.68      27.65      30.16      32.51     
VectorSearchOnly               1000       1000.0     128      100      1000     1000  (100.0%) 0        500       500      42.62      43.76      47.07      50.80     
VectorSearchOnly               1000       1000.5     256      100      1000     1000  (100.0%) 0        100       100      12.43      12.84      13.68      14.46     
VectorSearchOnly               1000       1000.3     256      100      1000     1000  (100.0%) 0        300       100      14.76      15.38      17.16      18.01     
VectorSearchOnly               1000       1000.3     256      100      1000     1000  (100.0%) 0        500       100      16.30      17.09      19.10      20.45     
VectorSearchOnly               1000       1000.1     256      100      1000     1000  (100.0%) 0        500       250      26.57      27.57      30.10      32.10     
VectorSearchOnly               1000       999.9      256      100      1000     1000  (100.0%) 0        500       500      42.88      44.03      47.26      50.74     
functionalHybrid               10000      75403.9    64       100      10000    10000 (100.0%) 0        100       100      26.07      39.97      71.24      101.96    
functionalHybrid               10000      76440.9    64       100      10000    10000 (100.0%) 0        300       100      43.20      54.68      91.87      145.05    
functionalHybrid               10000      56890.5    64       100      10000    10000 (100.0%) 0        500       100      48.51      74.81      171.96     221.47    
functionalHybrid               10000      35174.2    64       100      10000    10000 (100.0%) 0        500       250      94.71      110.62     227.22     265.18    
functionalHybrid               10000      25266.3    64       100      10000    10000 (100.0%) 0        500       500      128.67     150.71     286.92     329.24    
functionalHybrid               10000      75449.8    128      100      10000    10000 (100.0%) 0        100       100      55.15      84.26      163.92     218.87    
functionalHybrid               10000      71865.3    128      100      10000    10000 (100.0%) 0        300       100      34.60      46.08      97.25      149.33    
functionalHybrid               10000      56771.9    128      100      10000    10000 (100.0%) 0        500       100      52.01      112.01     503.71     672.42    
functionalHybrid               10000      32990.4    128      100      10000    10000 (100.0%) 0        500       250      209.45     272.13     421.73     517.31    
functionalHybrid               10000      22315.9    128      100      10000    10000 (100.0%) 0        500       500      327.21     392.75     554.87     661.28    
functionalHybrid               10000      72542.2    256      100      10000    10000 (100.0%) 0        100       100      68.76      98.41      204.74     444.13    
functionalHybrid               10000      72377.8    256      100      10000    10000 (100.0%) 0        300       100      56.27      82.32      163.34     252.16    
functionalHybrid               10000      60337.9    256      100      10000    10000 (100.0%) 0        500       100      98.09      251.73     821.21     1198.25   
functionalHybrid               10000      25742.1    256      100      10000    10000 (100.0%) 0        500       250      621.05     637.96     695.32     842.51    
functionalHybrid               10000      14399.8    256      100      10000    10000 (100.0%) 0        500       500      687.67     814.49     1156.30    9137.99   
functionalHybrid               10000      61398.7    512      100      10000    10000 (100.0%) 0        100       100      147.31     192.52     1802.03    2960.53   
